#category_i—_一级类目	category_i_二级类目	category_j_一级类目	category_j_二级类目	similarity 
金融	基础设施	企业服务	业务层-垂直型	0.6
金融	金融机构服务	企业服务	业务层-垂直型	0.8
房产	房产	金融	个人债权	0.8
房产	房产	B2B 	B2B 	0.8
房产	房产	企业服务	业务层-通用型	0.8
房产	房产	汽车	新车	0.6
房产	房产	汽车	二手车	0.6
汽车	后服务	B2B	B2B	0.6
汽车	周边电商	B2B	B2B	0.6
汽车	二手车	房产	房产	0.6
汽车	二手车	B2B	B2B	0.6
汽车	新车	房产	房产	0.6
汽车	新车	B2B	B2B	0.6
汽车	汽车媒体	房产	房产	0.6
汽车	汽车媒体	B2B	B2B	0.6
教育培训	早教	生活服务	其他本地生活	0.6
教育培训	幼儿园	生活服务	其他本地生活	0.6
教育培训	K12	生活服务	其他本地生活	0.6
教育培训	兴趣	生活服务	其他本地生活	0.6
教育培训	职业技能培训	生活服务	其他本地生活	0.6
教育培训	留学服务	生活服务	其他本地生活	0.6
教育培训	留学服务	社区/社交	社区/社交	0.6
高科技	智能硬件	工具类	工具类	0.6
高科技	VR	工具类	工具类	0.6
高科技	VR	文娱内容游戏	文娱内容媒体	0.6
高科技	机器人	工具类	工具类	0.6
高科技	大数据	企业服务	业务层-通用型	0.6
高科技	人工智能	工具类	工具类	0.6
高科技	无人机	工具类	工具类	0.6
高科技	其他高科技	工具类	工具类	0.6
旅游	旅游	实物电商	零售电商	0.4
旅游	旅游	生活服务	其他本地生活	0.4
旅游	旅游	体育健身	运动健身	0.4
医疗	医疗机构服务	企业服务	业务层-通用型	0.6
医疗	医疗机构服务	企业服务	业务层-垂直型	0.8
医疗	医疗机构服务	工具类	工具类	0.6
医疗	专业人士服务	社区/社交	社区/社交	0.6
医疗	专业人士服务	企业服务	业务层-通用型	0.6
医疗	专业人士服务	企业服务	业务层-垂直型	0.8
医疗	专业人士服务	工具类	工具类	0.6
医疗	大众服务	工具类	工具类	0.6
医疗	大众服务	社区/社交	社区/社交	0.6
医疗	大众服务	生活服务	其他本地生活	0.6
工具类	工具类	高科技	智能硬件	0.4
工具类	工具类	高科技	VR	0.4
工具类	工具类	高科技	机器人	0.4
工具类	工具类	高科技	大数据	0.4
工具类	工具类	高科技	人工智能	0.4
工具类	工具类	高科技	无人机	0.4
工具类	工具类	高科技	其他高科技	0.4
农业	农业产前	B2B	B2B	0.6
农业	农业产前	金融	企业债权	0.6
农业	农业产前	交通物流仓储	物流	0.6
农业	农业产中	金融	企业债权	0.6
农业	农业产中	企业服务	业务层-垂直型	0.8
农业	农业产中	企业服务	业务层-通用型	0.6
农业	农业产中	工具类	工具类	0.6
农业	农业产后	B2B	B2B	0.6
农业	农业产后	实物电商	零售电商	0.6
农业	农业产后	金融	企业债权	0.6
农业	农业产后	交通物流仓储	物流	0.6
农业	全产业链	B2B	B2B	0.6
农业	全产业链	实物电商	零售电商	0.6
农业	全产业链	金融	企业债权	0.6
农业	全产业链	交通物流仓储	物流	0.6
